time_karin,lon,lat,time_delta_left,time_delta_right,ssha_karin,steric,steric_linear,swh,pass_num,mooring_id
7892017.00000,-125.12200,36.18640,-31.41667,0.80000,2.65084,53.52230,53.50677,1.24138,13.00000,S1
7892017.00000,-125.06420,36.02310,-96.28333,39.55000,1.99581,53.81200,53.37129,1.22698,13.00000,P2
7892017.00000,-125.04440,35.92050,-0.76667,34.83333,0.89836,52.66940,52.68147,1.21972,13.00000,S2
7892017.00000,-125.03470,35.84670,-24.30000,41.03333,-0.75675,51.67370,52.04385,1.21670,13.00000,P3
7892017.00000,-124.98000,35.65570,-9.26667,27.68333,-3.12700,52.23950,52.20572,1.19866,13.00000,S3
7892017.00000,-124.95020,35.47590,-99.48333,36.38333,-6.16599,50.35470,50.45541,1.18777,13.00000,P6
7892017.00000,-124.90880,35.39010,-17.90000,15.23333,-5.36148,53.21690,53.13538,1.18090,13.00000,S4
7892017.00000,-124.88790,35.28860,-110.30000,19.73333,-3.62542,55.00270,54.45774,1.17750,13.00000,P7
7977854.00000,-125.12420,36.18530,-2.30000,24.26667,2.77611,53.16420,53.14147,2.85409,13.00000,S1
7977854.00000,-125.06180,36.01910,-113.70000,45.65000,0.92473,52.25720,52.83050,2.84749,13.00000,P2
7977854.00000,-125.04710,35.91830,-20.31667,9.86667,1.47543,54.90940,55.17510,2.84572,13.00000,S2
7977854.00000,-125.03940,35.84170,-114.88333,47.01667,0.60563,53.52120,53.27305,2.83685,13.00000,P3
7977854.00000,-124.98090,35.65410,-22.06667,6.35000,-3.96551,53.46320,53.34593,2.79156,13.00000,S3
7977854.00000,-124.94970,35.46700,-98.60000,51.16667,-6.29318,51.73370,51.31437,2.74537,13.00000,P6
7977854.00000,-124.91150,35.38870,-23.13333,3.00000,-5.99040,52.27910,52.24496,2.72835,13.00000,S4
7977854.00000,-124.88000,35.28140,-75.26667,28.25000,-4.94847,53.44860,52.81555,2.70668,13.00000,P7
8063692.00000,-125.12430,36.18750,-5.28333,22.23333,3.44607,51.98850,51.98982,3.76927,13.00000,S1
8063692.00000,-125.06190,36.02080,-78.53333,31.75000,1.34923,52.08690,52.23715,3.80125,13.00000,P2
8063692.00000,-125.04690,35.92120,-26.23333,5.83333,-0.11385,52.16510,51.98583,3.81381,13.00000,S2
8063692.00000,-125.04350,35.84130,-51.63333,69.28333,-2.07390,51.56170,51.72730,3.80907,13.00000,P3
8063692.00000,-124.98160,35.65550,-14.53333,15.60000,-3.05277,53.75980,53.56765,3.81796,13.00000,S3
8063692.00000,-124.95230,35.46380,-67.85000,34.35000,-4.99767,51.31590,51.29704,3.82614,13.00000,P6
8063692.00000,-124.91400,35.38930,-6.33333,22.88333,-6.69524,52.51210,52.40890,3.84077,13.00000,S4
8063692.00000,-124.88670,35.28120,-98.03333,60.13333,-7.16332,52.42730,52.19006,3.85133,13.00000,P7
